Timestamp(us),Time,Direction,PID,TID,Command,Src_IP,Dest_IP,Port,Payload_Size_Bytes
7889464469,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464603,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464735,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464867,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464999,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465092,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465229,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465363,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465497,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465633,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889465862,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466241,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466478,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466624,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466764,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466815,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889466944,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467130,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467271,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467402,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467449,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467579,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467715,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467846,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889467975,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468067,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468221,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468358,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468491,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468619,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468672,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468806,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889468944,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889469123,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889469260,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889469438,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889469756,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889470125,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889470351,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889470405,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
